ip;time;method;url;status;bytes;referer;user_agent;request_time;upstream;upstream_time
162.55.33.98;26/Apr/2021:21:20:17 +0000;GET;"/api/annotations?from=1619471716848&to=1619472016848&dashboardId=25";200;2;"https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36";0.003;[monitoring-monitoring-prometheus-grafana-80];0.004
162.55.33.98;26/Apr/2021:21:20:17 +0000;GET;"/api/datasources/proxy/1/api/v1/query_range?query=probe_http_status_code%7Btarget%3D~%22()%22%7D&start=1619471700&end=1619472000&step=30";200;210;"https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36";0.005;[monitoring-monitoring-prometheus-grafana-80];0.004
162.55.33.98;26/Apr/2021:21:20:17 +0000;GET;"/api/datasources/proxy/1/api/v1/query_range?query=probe_ssl_earliest_cert_expiry%7Btarget%3D~%22()%22%7D-time()&start=1619471700&end=1619472000&step=30";200;212;"https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36";0.007;[monitoring-monitoring-prometheus-grafana-80];0.004
162.55.33.98;26/Apr/2021:21:20:17 +0000;GET;"/api/datasources/proxy/1/api/v1/query_range?query=avg(probe_duration_seconds%7Btarget%3D~%22()%22%7D)&start=1619471700&end=1619472000&step=30";200;225;"https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36";0.004;[monitoring-monitoring-prometheus-grafana-80];0.004
162.55.33.98;26/Apr/2021:21:20:17 +0000;GET;"/api/datasources/proxy/1/api/v1/query_range?query=probe_duration_seconds%20and%20probe_success%20%3D%3D%201&start=1619471700&end=1619472000&step=30";200;288;"https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36";0.004;[monitoring-monitoring-prometheus-grafana-80];0.004
162.55.33.98;26/Apr/2021:21:20:17 +0000;GET;"/api/datasources/proxy/1/api/v1/query_range?query=sum_over_time(probe_success%5B5s%5D)&start=1619471700&end=1619472000&step=30";200;87;"https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36";0.003;[monitoring-monitoring-prometheus-grafana-80];0.004
162.55.33.98;26/Apr/2021:21:20:17 +0000;GET;"/api/datasources/proxy/1/api/v1/query_range?query=sum_over_time(probe_success%7Btarget%3D~%22()%22%7D%5B5s%5D)&start=1619471700&end=1619472000&step=30";200;87;"https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36";0.003;[monitoring-monitoring-prometheus-grafana-80];0.004
162.55.33.98;26/Apr/2021:21:20:18 +0000;GET;"/api/datasources/proxy/1/api/v1/query_range?query=probe_duration_seconds%7Btarget%3D~%22()%22%7D%20and%20probe_success%7Btarget%3D~%22()%22%7D%20%3D%3D%201&start=1619471700&end=1619472000&step=30";200;288;"https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36";0.003;[monitoring-monitoring-prometheus-grafana-80];0.004
162.55.33.98;26/Apr/2021:21:20:22 +0000;GET;"/api/annotations?from=1619471721853&to=1619472021853&dashboardId=25";200;2;"https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36";0.002;[monitoring-monitoring-prometheus-grafana-80];0.004
162.55.33.98;26/Apr/2021:21:20:22 +0000;GET;"/api/datasources/proxy/1/api/v1/query_range?query=probe_http_status_code%7Btarget%3D~%22()%22%7D&start=1619471700&end=1619472000&step=30";200;210;"https://grafana.itoutposts.com/d/xtkCtBkiz/blackbox-exporter-overview?orgId=1&refresh=5s";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36";0.003;[monitoring-monitoring-prometheus-grafana-80];0.004
